test_name,total_runs,passed,failed,label
Serilog.Tests.Core.AuditSinkTests.ExceptionsThrownByAuditSinksArePropagated,100,100,0,stable
Serilog.Tests.Core.MessageTemplateTests.FormatStringsArePropagated,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Warning, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
Serilog.Tests.Settings.SettingValueConversionsTests.ValuesConvertToTypeFromQualifiedName,100,100,0,stable
Serilog.Tests.Core.LoggerTests.WrappedAggregatedSinksAreDisposedWhenLoggerIsDisposed,100,100,0,stable
"Serilog.Tests.Rendering.MessageTemplateRendererTests.PropertyTokenFormatsAreApplied(template: ""{Number:X8}"", appliedFormat: ""j"", expected: ""00000010"")",100,100,0,stable
Serilog.Tests.Core.MessageTemplateTests.ATemplateWithNamesAndPositionalsUsesNamesForAllValues,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Debug, rootMinimumLevelIncrement: 1, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Parsing.MessageTemplateParserTests.DashedAndDottedNamesAreAccepted(template: ""{test.name}"")",100,100,0,stable
Serilog.Tests.Core.ChildLoggerDisposalTests.WhenExplicitlyConfiguredChildLoggerShouldBeAsyncDisposedAccordingToConfiguration(attemptDispose: False),100,100,0,stable
Serilog.Tests.Context.LogContextTests.PushedPropertiesAreAvailableToLoggers,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelInheritanceScenarios(eventLevel: Debug, rootMinimumLevelIncrement: 0, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 1, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: ""Root.N1.N2"", rootOverrideLevelIncrement: 0, childOverrideSource: null, childOverrideLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
Serilog.Tests.MethodOverloadConventionTests.ValidateBindMessageTemplateMethods(loggerType: typeof(Serilog.Core.Pipeline.SilentLogger)),100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.MaximumDestructuringDepthDefaultIsEffective,100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.AppliesJsonFormattingToPropertiesTokenWhenSpecified(format: "":jl"", expected: ""{\""Name\"":\""World\""}"")",100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.AFilterPreventsMatchedEventsFromPassingToTheSink,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerWithConfigCallbackMinimumLevelInheritanceScenarios(eventLevel: Verbose, rootMinimumLevelIncrement: 1, sinkRestrictedToIncrement: 0, childMinimumLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: ""Root"", rootOverrideLevelIncrement: 1, childOverrideSource: ""Root"", childOverrideLevelIncrement: 0, eventShouldGetToChild: False)",100,100,0,stable
