test_name,total_runs,passed,failed,label
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerApiVersionCustomConfiguration(propertyName: ""DOCKER_API_VERSION"", propertyValue: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.ShouldThrowArgumentExceptionIfImageIsInvalidReferenceFormat(image: ""baz/.foo/bar:1.0.0"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerSocketOverrideCustomConfiguration(configuration: ""docker.socket.override="", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.OverwriteEnumerableCompose(oldValue: [""1"", ""2""], newValue: [""3"", ""4""], expected: [""3"", ""4""])",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.WaitUntilExternalTcpPortIsAvailable.SucceedsWhenPortIsMappedAndListening,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerImageNameSubstitutionTest+HubImageNamePrefixIsSet.PrependForObjectConfiguration(hubImageNamePrefix: ""my.proxy.com"", imageName: ""bar:latest"", expectedFullName: ""my.proxy.com/bar:latest"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetWaitStrategyTimeoutCustomConfiguration(configuration: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""lipsum/lorem/temp.txt"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerTlsCustomConfiguration(configuration: ""docker.tls=true"", expected: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerHostOverrideCustomConfiguration(configuration: ""host.override="", expected: null)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.ComposableEnumerableHandlesNullCollection,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.ContainerConfigurationConverterTest+ExposedPorts.ShouldKeepPortSuffix(portSuffix: ""UDP"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerImageNameSubstitutionTest+HubImageNamePrefixIsSet.PrependForObjectConfiguration(hubImageNamePrefix: ""my.proxy.com:443"", imageName: ""foo/bar:1.0.0"", expectedFullName: ""my.proxy.com:443/foo/bar:1.0.0"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.ShouldThrowArgumentExceptionIfImageNameHasUppercaseCharacters(image: ""Bar"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerConfigCustomConfiguration(configuration: ""docker.config=~/.docker/"", expected: ""~/.docker/"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerHostOverrideCustomConfiguration(propertyName: """", propertyValue: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersContainerTest+WithConfiguration.HostnameShouldMatchDockerGatewayAddress(expectedHostname: ""127.0.0.1"", endpoint: ""unix:/var/run/docker.sock"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerTlsCustomConfiguration(propertyName: ""DOCKER_TLS"", propertyValue: ""0"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""src/lorem/lipsum.config"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.MatchVersion_ReturnsTrue_WhenVersionMatchesPredicate(image: ""foo:2.3.4-variant"", major: 2, minor: 3, build: 4, revision: -1)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest.GetHostnameFromDockerImage(dockerImageName: ""fedora/httpd:version1.0"", hostname: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ResolvePartialDockerRegistry(jsonDocument: ""{\""auths\"":{\""quay.io\"":{}}}"", hostname: ""quay.io"", expectedResult: True)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.CommonDirectoryPathTest.CommonDirectoryPathExists(commonDirectoryPath: DotNet.Testcontainers.Builders.CommonDirectoryPath),100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ShouldGetNull(jsonDocument: ""{\""auths\"":{\""https://index.docker.io/v1/\"":{\""aut""···, isApplicable: True, logMessage: ""The \""auth\"" property value for https://index.dock""···)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.ImageFromDockerfileTest.BuildsDockerAlpineImage(dockerfile: ""Dockerfile"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerImageNameSubstitutionTest+HubImageNamePrefixIsSet.PrependForObjectConfiguration(hubImageNamePrefix: ""my.proxy.com"", imageName: ""myregistry.azurecr.io:443/foo/bar:1.0.0"", expectedFullName: ""myregistry.azurecr.io:443/foo/bar:1.0.0"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = null, FullName = ""fedora/httpd:version1.0.test"", Platform = null, Registry = null, Repository = ""fedora/httpd"", ··· } }, image: ""fedora/httpd:version1.0.test"", fullName: ""fedora/httpd:version1.0.test"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerConfigCustomConfiguration(configuration: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerAuthConfigCustomConfiguration(propertyName: ""DOCKER_AUTH_CONFIG"", propertyValue: ""{\""auths\"":{}}"", expected: ""{\""auths\"":{}}"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetNamedPipeConnectionTimeoutCustomConfiguration(configuration: ""named.pipe.connection.timeout=00:00:01"", expected: ""00:00:01"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = null, FullName = ""baz:1.0.0"", Platform = null, Registry = null, Repository = ""baz"", ··· } }, image: ""baz:1.0.0"", fullName: ""baz:1.0.0"")",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersWaitStrategyTest+Finish.ImmediatelyUntil,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerHostCustomConfiguration(configuration: ""docker.host="", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ResolvePartialDockerRegistry(jsonDocument: ""{\""auths\"":{\""localhost:5000\"":{}}}"", hostname: ""localhost"", expectedResult: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = null, FullName = ""myregistry.azurecr.io/bar/baz:latest"", Platform = null, Registry = ""myregistry.azurecr.io"", Repository = ""bar/baz"", ··· } }, image: ""myregistry.azurecr.io/bar/baz"", fullName: ""myregistry.azurecr.io/bar/baz:latest"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""lipsum.txt"", expected: False)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.MatchLatestOrNightly_TagIsLatest_ReturnsTrue,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ResolvePartialDockerRegistry(jsonDocument: ""{\""auths\"":{\""index.docker.io\"":{}}}"", hostname: ""docker.io"", expectedResult: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerApiVersionCustomConfiguration(configuration: """", expected: null)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.WaitUntilHttpRequestIsSucceededTest.HttpWaitStrategyReusesCustomHttpClientHandler,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.CombineReadOnlyLists(oldValue: [""1""], newValue: [""2""], expected: [""1"", ""2""])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""CODE_OF_CONDUCT.md"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerHostOverrideCustomConfiguration(configuration: ""host.override=docker.svc.local"", expected: ""docker.svc.local"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerContextCustomConfiguration(propertyName: """", propertyValue: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.MatchVersion_ReturnsTrue_WhenVersionMatchesPredicate(image: ""foo:2.3.4"", major: 2, minor: 3, build: 4, revision: -1)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetWaitStrategyRetriesCustomConfiguration(propertyName: ""TESTCONTAINERS_WAIT_STRATEGY_RETRIES"", propertyValue: ""1"", expected: 1)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.MatchLatestOrNightly_TagIsNightly_ReturnsTrue,100,100,0,stable
